recording_id,species,window_idx,source_url,split
1139951,American Robin,0,https://xeno-canto.org/1139951/download,train
1139951,American Robin,1,https://xeno-canto.org/1139951/download,train
1139951,American Robin,2,https://xeno-canto.org/1139951/download,train
1139951,American Robin,3,https://xeno-canto.org/1139951/download,train
1139951,American Robin,4,https://xeno-canto.org/1139951/download,train
1139951,American Robin,5,https://xeno-canto.org/1139951/download,train
1139951,American Robin,6,https://xeno-canto.org/1139951/download,train
1139951,American Robin,7,https://xeno-canto.org/1139951/download,train
1139951,American Robin,8,https://xeno-canto.org/1139951/download,train
1139951,American Robin,9,https://xeno-canto.org/1139951/download,train
1139498,American Robin,0,https://xeno-canto.org/1139498/download,test
1139498,American Robin,1,https://xeno-canto.org/1139498/download,test
1139498,American Robin,2,https://xeno-canto.org/1139498/download,test
1139498,American Robin,3,https://xeno-canto.org/1139498/download,test
1139498,American Robin,4,https://xeno-canto.org/1139498/download,test
1139498,American Robin,5,https://xeno-canto.org/1139498/download,test
1139498,American Robin,6,https://xeno-canto.org/1139498/download,test
1139498,American Robin,7,https://xeno-canto.org/1139498/download,test
1139498,American Robin,8,https://xeno-canto.org/1139498/download,test
1139498,American Robin,9,https://xeno-canto.org/1139498/download,test
1139498,American Robin,10,https://xeno-canto.org/1139498/download,test
1139498,American Robin,11,https://xeno-canto.org/1139498/download,test
1139498,American Robin,12,https://xeno-canto.org/1139498/download,test
1139498,American Robin,13,https://xeno-canto.org/1139498/download,test
1139498,American Robin,14,https://xeno-canto.org/1139498/download,test
1139498,American Robin,15,https://xeno-canto.org/1139498/download,test
1139498,American Robin,16,https://xeno-canto.org/1139498/download,test
1139498,American Robin,17,https://xeno-canto.org/1139498/download,test
1139498,American Robin,18,https://xeno-canto.org/1139498/download,test
1139498,American Robin,19,https://xeno-canto.org/1139498/download,test
1139498,American Robin,20,https://xeno-canto.org/1139498/download,test
1139498,American Robin,21,https://xeno-canto.org/1139498/download,test
1139498,American Robin,22,https://xeno-canto.org/1139498/download,test
1139498,American Robin,23,https://xeno-canto.org/1139498/download,test
1139498,American Robin,24,https://xeno-canto.org/1139498/download,test
1139498,American Robin,25,https://xeno-canto.org/1139498/download,test
1139498,American Robin,26,https://xeno-canto.org/1139498/download,test
1139498,American Robin,27,https://xeno-canto.org/1139498/download,test
1139498,American Robin,28,https://xeno-canto.org/1139498/download,test
1139498,American Robin,29,https://xeno-canto.org/1139498/download,test
1138978,American Robin,0,https://xeno-canto.org/1138978/download,test
1138978,American Robin,1,https://xeno-canto.org/1138978/download,test
1138978,American Robin,2,https://xeno-canto.org/1138978/download,test
1138978,American Robin,3,https://xeno-canto.org/1138978/download,test
1138978,American Robin,4,https://xeno-canto.org/1138978/download,test
